epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,8943.28,1.24605,1.37465,1.4802,0.75317,0.62866,0.70321,0.44265,1.40516,1.15133,1.68929,0.008152,0.008152,0.008152
58,9099.8,1.24562,1.38927,1.48087,0.73295,0.64959,0.71603,0.4482,1.3852,1.11931,1.67626,0.008119,0.008119,0.008119
59,9256.33,1.23049,1.37267,1.47439,0.7153,0.63705,0.69826,0.44294,1.37615,1.13316,1.66721,0.008086,0.008086,0.008086
60,9412.68,1.25195,1.39134,1.48075,0.74546,0.61847,0.70024,0.45025,1.36779,1.10554,1.65553,0.008053,0.008053,0.008053
61,9569.19,1.22494,1.36936,1.46852,0.71283,0.63836,0.70368,0.44682,1.35753,1.10632,1.64942,0.00802,0.00802,0.00802
62,9725.8,1.23306,1.3552,1.46895,0.70675,0.68276,0.72399,0.45859,1.35202,1.09541,1.64492,0.007987,0.007987,0.007987
63,9882.01,1.22534,1.3593,1.46276,0.72732,0.66525,0.72124,0.46285,1.34529,1.09632,1.64772,0.007954,0.007954,0.007954
64,10038.4,1.2205,1.34455,1.46378,0.72249,0.6545,0.72896,0.46437,1.34334,1.0851,1.64414,0.007921,0.007921,0.007921
65,10194.8,1.21176,1.31254,1.45046,0.72498,0.6646,0.73063,0.47363,1.34133,1.06619,1.63145,0.007888,0.007888,0.007888
66,10351.5,1.19657,1.30852,1.44472,0.7843,0.63989,0.72701,0.47193,1.32439,1.06923,1.62353,0.007855,0.007855,0.007855
67,10508.1,1.18961,1.28521,1.44213,0.77312,0.65042,0.73771,0.48019,1.31323,1.04852,1.60664,0.007822,0.007822,0.007822
68,10664.4,1.19763,1.3151,1.44715,0.75994,0.64855,0.73851,0.47615,1.31656,1.04675,1.60259,0.007789,0.007789,0.007789
69,10821.3,1.19222,1.27807,1.43839,0.8116,0.63988,0.74031,0.47931,1.31528,1.03531,1.61229,0.007756,0.007756,0.007756
70,10977.8,1.17166,1.26554,1.42876,0.79167,0.66084,0.75144,0.49451,1.28649,1.02544,1.59016,0.007723,0.007723,0.007723
71,11134.1,1.18,1.28421,1.43582,0.75782,0.67994,0.74725,0.48786,1.29132,1.0092,1.58539,0.00769,0.00769,0.00769
72,11290.3,1.19064,1.28277,1.43651,0.76511,0.68469,0.74255,0.48767,1.29303,1.02833,1.58703,0.007657,0.007657,0.007657
73,11446.6,1.17697,1.281,1.43091,0.76069,0.68417,0.74345,0.4892,1.29277,1.02083,1.58174,0.007624,0.007624,0.007624
74,11603,1.16363,1.26058,1.42436,0.7793,0.67763,0.74957,0.49928,1.28574,1.00785,1.58321,0.007591,0.007591,0.007591
75,11759.2,1.16859,1.25336,1.42383,0.7721,0.69143,0.76056,0.50079,1.28478,0.99743,1.57855,0.007558,0.007558,0.007558
76,11915.4,1.15663,1.22679,1.40553,0.7762,0.6869,0.76016,0.50084,1.27696,0.99954,1.57493,0.007525,0.007525,0.007525
77,12071.7,1.15818,1.24259,1.40722,0.82356,0.65824,0.76976,0.50729,1.27562,0.97721,1.56613,0.007492,0.007492,0.007492
78,12228.1,1.15607,1.22824,1.40525,0.79152,0.67195,0.75918,0.50009,1.27431,0.98581,1.5692,0.007459,0.007459,0.007459
79,12384.5,1.14489,1.21595,1.40187,0.78544,0.68595,0.76513,0.5139,1.2604,0.97191,1.55386,0.007426,0.007426,0.007426
80,12540.6,1.14534,1.21965,1.40189,0.81237,0.69432,0.77225,0.5168,1.26243,0.96673,1.56675,0.007393,0.007393,0.007393
81,12697,1.14075,1.19945,1.39338,0.82264,0.68944,0.77962,0.52324,1.2381,0.95731,1.52997,0.00736,0.00736,0.00736
82,12853.3,1.14875,1.23385,1.39822,0.81199,0.70116,0.77765,0.5239,1.2446,0.95232,1.53994,0.007327,0.007327,0.007327
83,13009.7,1.14672,1.2035,1.40046,0.80427,0.67548,0.76055,0.51513,1.23749,0.96478,1.53765,0.007294,0.007294,0.007294
84,13166.1,1.13962,1.19498,1.39622,0.78148,0.70766,0.77331,0.52566,1.2362,0.94767,1.52815,0.007261,0.007261,0.007261
85,13322.4,1.13102,1.18982,1.38704,0.80994,0.6906,0.78069,0.53249,1.2353,0.93329,1.53445,0.007228,0.007228,0.007228
86,13478.3,1.12678,1.18675,1.39023,0.81339,0.69165,0.77882,0.53264,1.21755,0.95103,1.5192,0.007195,0.007195,0.007195
87,13634.5,1.1181,1.16762,1.37733,0.82645,0.68042,0.77385,0.53298,1.21627,0.93927,1.51637,0.007162,0.007162,0.007162
88,13790.9,1.11625,1.16544,1.37813,0.80226,0.69939,0.77991,0.53397,1.22202,0.92294,1.51671,0.007129,0.007129,0.007129
